model,source,feature_extraction_ms,inference_ms,total_ms
Random Forest,saved,14.2234000377357,35.71079997345805,49.93420001119375
Random Forest,saved,13.657100033015013,35.06249992642552,48.71959995944053
Random Forest,saved,13.411400024779141,34.37680006027222,47.78820008505136
Random Forest,saved,13.544399989768863,30.7281999848783,44.272599974647164
Random Forest,saved,11.887500062584877,33.25159999076277,45.13910005334765
Random Forest,saved,11.563099920749664,22.23760006017983,33.800699980929494
Random Forest,saved,11.242399923503399,22.17840007506311,33.42079999856651
Random Forest,saved,11.185399955138564,20.416000043042004,31.601399998180568
Random Forest,saved,10.934299905784428,21.73250005580485,32.66679996158928
Random Forest,saved,11.648999992758036,22.772599942982197,34.42159993574023
Random Forest,saved,13.019599951803684,23.95200007595122,36.9716000277549
Random Forest,saved,13.71639990247786,32.50680002383888,46.22319992631674
Random Forest,saved,12.187200016342103,23.588899988681078,35.77610000502318
Random Forest,saved,12.315499945543706,22.500300081446767,34.81580002699047
Random Forest,saved,13.881899998523295,19.804400042630732,33.68630004115403
Random Forest,saved,14.046099968254566,22.429200005717576,36.47529997397214
Random Forest,saved,12.757200049236417,22.505000000819564,35.26220005005598
Random Forest,saved,13.789999997243285,22.775499965064228,36.56549996230751
Random Forest,saved,10.951800039038062,22.43450004607439,33.38630008511245
Random Forest,saved,11.05000008828938,21.209599915891886,32.259600004181266
Random Forest,saved,14.202899998053908,37.68780000973493,51.89070000778884
Random Forest,saved,14.882799936458468,35.69090005476028,50.573699991218746
Random Forest,saved,17.83979998435825,41.212899959646165,59.05269994400442
Random Forest,saved,15.748300007544458,20.370000042021275,36.11830004956573
Random Forest,saved,11.404099990613759,20.510900067165494,31.915000057779253
Random Forest,saved,10.859299916774035,21.473900065757334,32.33319998253137
Random Forest,saved,10.692899930290878,20.55420004762709,31.24709997791797
Random Forest,saved,11.267800000496209,21.72459999565035,32.99239999614656
Random Forest,saved,11.413200059905648,21.91709994804114,33.33030000794679
Random Forest,saved,14.946900075301528,26.795499958097935,41.74240003339946
Random Forest,saved,12.083999929018319,21.425300044938922,33.50929997395724
Random Forest,saved,12.88689998909831,37.32849995139986,50.21539994049817
Random Forest,saved,13.463800074532628,34.147299942560494,47.61110001709312
Random Forest,saved,11.554299970157444,22.33810001052916,33.892399980686605
Random Forest,saved,10.677499929443002,23.495899979025126,34.17339990846813
Random Forest,saved,10.310800047591329,19.811499980278313,30.122300027869642
Random Forest,saved,11.196999927051365,20.55999997537583,31.756999902427197
Random Forest,saved,11.056500021368265,17.71539996843785,28.771899989806116
Random Forest,saved,11.179000022821128,21.124999970197678,32.303999993018806
Random Forest,saved,10.543199954554439,20.979300024919212,31.52249997947365
Random Forest,saved,11.092899949289858,20.01520001795143,31.108099967241287
Random Forest,saved,10.716099990531802,19.725400023162365,30.441500013694167
Random Forest,saved,11.828599963337183,20.22529998794198,32.05389995127916
Random Forest,saved,18.351700040511787,49.265399924479425,67.61709996499121
Random Forest,saved,16.87559997662902,41.04679997544736,57.922399952076375
Random Forest,saved,17.710200045257807,36.73319995868951,54.44340000394732
Random Forest,saved,15.461300034075975,24.624499958008528,40.0857999920845
Random Forest,saved,16.179500031284988,38.32870000042021,54.5082000317052
Random Forest,saved,18.988700001500547,40.4476000694558,59.43630007095635
Random Forest,saved,20.663499948568642,37.90360002312809,58.567099971696734
Random Forest,saved,16.946999938227236,36.5357999689877,53.48279990721494
Random Forest,saved,15.506100025959313,35.27430002577603,50.78040005173534
Random Forest,saved,15.725700068287551,38.46589999739081,54.19160006567836
Random Forest,saved,15.220199944451451,35.08460009470582,50.30480003915727
Random Forest,saved,16.458500060252845,38.79250003956258,55.25100009981543
Random Forest,saved,15.567800030112267,23.882700013928115,39.45050004404038
Random Forest,saved,13.71369999833405,25.066499947570264,38.780199945904315
Random Forest,saved,15.400100033730268,36.53439995832741,51.93449999205768
Random Forest,saved,15.160299954004586,33.839100040495396,48.99939999449998
Random Forest,saved,14.274999964982271,21.504199947230518,35.77919991221279
Random Forest,saved,13.107500039041042,35.614000051282346,48.72150009032339
Random Forest,saved,13.326100073754787,21.815899992361665,35.14200006611645
Random Forest,saved,12.97289994545281,22.677800036035478,35.65069998148829
Random Forest,saved,12.320499983616173,34.13659997750074,46.45709996111691
Random Forest,saved,14.56869998946786,36.09189996495843,50.66059995442629
Random Forest,saved,13.57149996329099,33.73230004217476,47.303800005465746
Random Forest,saved,11.501699918881059,22.77799998410046,34.27969990298152
Random Forest,saved,14.574400032870471,24.007400032132864,38.581800065003335
Random Forest,saved,11.813999968580902,20.54559998214245,32.35959995072335
Random Forest,saved,10.577899985946715,19.77050001733005,30.348400003276765
Random Forest,saved,10.346499970182776,20.308799925260246,30.655299895443022
Random Forest,saved,10.689500020816922,21.173299988731742,31.862800009548664
Random Forest,saved,10.529099963605404,19.58830002695322,30.117399990558624
Random Forest,saved,10.979800019413233,20.916400011628866,31.8962000310421
Random Forest,saved,15.736900037154555,35.80299997702241,51.539900014176965
Random Forest,saved,15.837899991311133,22.303599980659783,38.141499971970916
Random Forest,saved,14.349799952469766,22.524400032125413,36.87419998459518
Random Forest,saved,15.285099972970784,20.919600035995245,36.20470000896603
Random Forest,saved,11.090100044384599,33.43539999332279,44.52550003770739
Random Forest,saved,11.21140003670007,23.84799998253584,35.05940001923591
Random Forest,saved,11.63199997972697,23.318700026720762,34.95070000644773
Random Forest,saved,11.165200034156442,23.73550005722791,34.90070009138435
Random Forest,saved,12.2575000859797,37.751799914985895,50.009300000965595
Random Forest,saved,14.47379996534437,36.971200024709105,51.444999990053475
Random Forest,saved,15.047900029458106,34.307399997487664,49.35530002694577
Random Forest,saved,13.735900050960481,36.843699985183775,50.57960003614426
Random Forest,saved,16.771399998106062,37.71900001447648,54.49040001258254
Random Forest,saved,27.583499904721975,42.651700088754296,70.23519999347627
Random Forest,saved,19.677800009958446,41.45340004470199,61.13120005466044
Random Forest,saved,16.12699998077005,38.80470001604408,54.93169999681413
Random Forest,saved,13.835999998264015,36.10949998255819,49.945499980822206
Random Forest,saved,12.856799992732704,36.123800091445446,48.98060008417815
Random Forest,saved,13.705400051549077,37.0767000131309,50.78210006467998
Random Forest,saved,13.211300014518201,27.77879999484867,40.99010000936687
Random Forest,saved,13.672000030055642,25.010499986819923,38.682500016875565
Random Forest,saved,13.110799947753549,38.13810006249696,51.24890001025051
Random Forest,saved,15.481100068427622,37.33620001003146,52.817300078459084
Random Forest,saved,16.119400039315224,41.99150006752461,58.110900106839836
Random Forest,saved,12.403500033542514,31.89460001885891,44.29810005240142
Random Forest,saved,18.09939998202026,41.48400004487485,59.583400026895106
Random Forest,saved,15.836199978366494,38.49990002345294,54.33610000181943
Random Forest,saved,18.572599976323545,40.47889995854348,59.051499934867024
Random Forest,saved,17.59140007197857,39.02709996327758,56.61850003525615
Random Forest,saved,12.476800009608269,20.557499956339598,33.034299965947866
Random Forest,saved,12.79960002284497,35.593099892139435,48.392699914984405
Random Forest,saved,15.985800069756806,41.41810000874102,57.40390007849783
Random Forest,saved,19.823600072413683,44.47459999937564,64.29820007178932
Random Forest,saved,19.69769992865622,44.743800070136786,64.441499998793
Random Forest,saved,18.398100044578314,41.207299917005,59.605399961583316
Random Forest,saved,15.289200004190207,37.08409995306283,52.37329995725304
Random Forest,saved,14.204800012521446,45.197300030849874,59.40210004337132
Random Forest,saved,12.642299989238381,33.935399958863854,46.577699948102236
Random Forest,saved,14.627499971538782,36.05920006521046,50.686700036749244
Random Forest,saved,12.489100103266537,33.60379999503493,46.09290009830147
Random Forest,saved,13.106000027619302,36.381600075401366,49.48760010302067
Random Forest,saved,12.600300018675625,33.03880000021309,45.63910001888871
Random Forest,saved,13.056199997663498,35.12569994200021,48.18189993966371
Random Forest,saved,13.19069997407496,32.932400004938245,46.123099979013205
Random Forest,saved,13.61320004798472,44.31159992236644,57.92479997035116
Random Forest,saved,13.558399979956448,34.01160007342696,47.57000005338341
Random Forest,saved,12.848400045186281,34.20899994671345,47.05739999189973
Random Forest,saved,12.97300006262958,36.27369995228946,49.24670001491904
Random Forest,saved,13.03499995265156,33.53020001668483,46.56519996933639
Random Forest,saved,12.061099987477064,45.65079999156296,57.71189997904003
Random Forest,saved,12.824999983422458,43.799999984912574,56.62499996833503
Random Forest,saved,12.319799978286028,45.3803000273183,57.70010000560433
Random Forest,saved,15.057199983857572,47.582400031387806,62.63960001524538
Random Forest,saved,19.069100031629205,62.93410004582256,82.00320007745177
Random Forest,saved,16.03679999243468,35.808099899441004,51.844899891875684
Random Forest,saved,14.80730006005615,34.67679989989847,49.48409995995462
Random Forest,saved,12.716300087049603,33.76279992517084,46.47910001222044
Random Forest,saved,12.031399994157255,35.329599981196225,47.36099997535348
Random Forest,saved,13.91670003067702,37.688300013542175,51.605000044219196
Random Forest,saved,14.70370008610189,34.33629998471588,49.04000007081777
Random Forest,saved,13.567299931310117,45.65830004867166,59.22559997998178
Random Forest,saved,13.71219998691231,35.5984999332577,49.31069992017001
Random Forest,saved,13.104100013151765,35.64190003089607,48.74600004404783
Random Forest,saved,13.000000035390258,36.003699991852045,49.0037000272423
Random Forest,saved,11.388799990527332,30.99649993237108,42.38529992289841
Random Forest,saved,11.887200060300529,32.659100019373,44.54630007967353
Random Forest,saved,10.63629996497184,34.85150006599724,45.48780003096908
Random Forest,saved,12.300599948503077,34.339900012128055,46.64049996063113
Random Forest,saved,10.950300027616322,31.07369993813336,42.02399996574968
Random Forest,saved,12.096200021915138,31.315499916672707,43.411699938587844
Random Forest,saved,13.843500055372715,32.90929994545877,46.752800000831485
Random Forest,saved,15.993300010450184,48.992899945005774,64.98619995545596
Random Forest,saved,14.555100002326071,47.057999996468425,61.613099998794496
Random Forest,saved,17.48869998846203,45.96849996596575,63.45719995442778
Random Forest,saved,13.683900004252791,35.79150000587106,49.47540001012385
Random Forest,saved,13.81310005672276,32.172200037166476,45.98530009388924
Random Forest,saved,13.16410000436008,33.82190002594143,46.98600003030151
Random Forest,saved,10.992499999701977,32.57399995345622,43.5664999531582
Random Forest,saved,14.612299972213805,32.31969999615103,46.931999968364835
Random Forest,saved,12.356300023384392,32.38360001705587,44.73990004044026
Random Forest,saved,11.023700004443526,32.750000013038516,43.77370001748204
Random Forest,saved,12.625399976968765,31.36120003182441,43.986600008793175
Random Forest,saved,11.719100060872734,43.7461999244988,55.46529998537153
Random Forest,saved,11.982599971815944,34.16100004687905,46.143600018695
Random Forest,saved,11.193300015293062,33.0489999614656,44.24229997675866
Random Forest,saved,11.723699979484081,34.92879995610565,46.65249993558973
Random Forest,saved,10.620199958793819,32.640499994158745,43.260699952952564
Random Forest,saved,11.823500040918589,34.821399953216314,46.6448999941349
Random Forest,saved,10.730599984526634,32.999000046402216,43.72960003092885
Random Forest,saved,10.658899904228747,32.93890005443245,43.5977999586612
Random Forest,saved,11.339899967424572,29.88990000449121,41.22979997191578
Random Forest,saved,13.065699953585863,32.05470007378608,45.12040002737194
Random Forest,saved,17.250700038857758,61.22020003385842,78.47090007271618
Random Forest,saved,18.59280001372099,45.712599996477365,64.30540001019835
Random Forest,saved,18.39860004838556,56.69899994973093,75.0975999981165
Random Forest,saved,18.765399930998683,56.228999979794025,74.99439991079271
Random Forest,saved,15.28859999962151,48.92069997731596,64.20929997693747
Random Forest,saved,19.86100000794977,48.73260005842894,68.59360006637871
Random Forest,saved,15.172800049185753,55.964499944821,71.13729999400675
Random Forest,saved,16.681900015100837,46.90790001768619,63.589800032787025
Random Forest,saved,17.061399994418025,48.93570009153336,65.99710008595139
Random Forest,saved,16.40020008198917,47.36099997535348,63.76120005734265
Random Forest,saved,19.983200007118285,46.80130002088845,66.78450002800673
Random Forest,saved,13.899100013077259,46.90269997809082,60.80179999116808
Random Forest,saved,15.049500041641295,47.07349999807775,62.123000039719045
Random Forest,saved,15.737199923023582,44.511400046758354,60.248599969781935
Random Forest,saved,13.406099984422326,47.35889995936304,60.76499994378537
Random Forest,saved,15.52719995379448,36.020100000314415,51.547299954108894
Random Forest,saved,12.68549996893853,45.54590000770986,58.23139997664839
Random Forest,saved,14.258699957281351,35.52919998764992,49.78789994493127
Random Forest,saved,11.51199999731034,32.65220008324832,44.16420008055866
Random Forest,saved,16.198200057260692,45.35169992595911,61.5498999832198
Random Forest,saved,15.24119998794049,37.28940000291914,52.53059999085963
Random Forest,saved,11.576800025068223,32.659600023180246,44.23640004824847
Random Forest,saved,17.628900008276105,49.74170005880296,67.37060006707907
Random Forest,saved,13.551299925893545,33.197700046002865,46.74899997189641
Random Forest,saved,11.075999937020242,31.616799999028444,42.69279993604869
Random Forest,saved,11.011000024154782,35.56410002056509,46.575100044719875
Random Forest,saved,11.226099915802479,31.92860004492104,43.15469996072352
Random Forest,saved,11.01719995494932,32.98799996264279,44.00519991759211
Random Forest,saved,11.241200030781329,32.714699977077544,43.95590000785887
Random Forest,saved,10.991199989803135,33.84759998880327,44.8387999786064
Random Forest,saved,11.367399943992496,31.845300109125674,43.21270005311817
Random Forest,saved,11.209100019186735,35.93909996561706,47.148199984803796
Random Forest,saved,11.177600012160838,32.653799979016185,43.83139999117702
Random Forest,saved,10.75220003258437,32.04209997784346,42.79430001042783
SVM (RBF),saved,11.290900059975684,1.1256999569013715,12.416600016877055
SVM (RBF),saved,13.022499973885715,0.9972000261768699,14.019700000062585
SVM (RBF),saved,13.849799986928701,1.0337000712752342,14.883500058203936
SVM (RBF),saved,12.781099998392165,1.8907999619841576,14.671899960376322
SVM (RBF),saved,12.821399956010282,0.9836000390350819,13.804999995045364
SVM (RBF),saved,12.5848000170663,0.9679000359028578,13.552700052969158
SVM (RBF),saved,10.54759998805821,0.9062000317499042,11.453800019808114
SVM (RBF),saved,10.828500031493604,1.0188999585807323,11.847399990074337
SVM (RBF),saved,12.166699976660311,1.5045000473037362,13.671200023964047
SVM (RBF),saved,13.146699988283217,1.1532999342307448,14.299999922513962
SVM (RBF),saved,12.753000017255545,0.968499924056232,13.721499941311777
SVM (RBF),saved,10.798700037412345,0.9672000305727124,11.765900067985058
SVM (RBF),saved,10.843300027772784,1.195400021970272,12.038700049743056
SVM (RBF),saved,11.224099900573492,1.0113000171259046,12.235399917699397
SVM (RBF),saved,12.058399966917932,0.9902000892907381,13.04860005620867
SVM (RBF),saved,11.380500043742359,0.9814000222831964,12.361900066025555
SVM (RBF),saved,11.625099927186966,1.076500047929585,12.701599975116551
SVM (RBF),saved,11.334700044244528,0.9471999946981668,12.281900038942695
SVM (RBF),saved,11.870699934661388,1.0447000386193395,12.915399973280728
SVM (RBF),saved,11.603099992498755,1.0461999336257577,12.649299926124513
SVM (RBF),saved,11.795400059781969,1.0921999346464872,12.887599994428456
SVM (RBF),saved,11.82030001655221,2.2734999656677246,14.093799982219934
SVM (RBF),saved,13.069399981759489,1.0167999425902963,14.086199924349785
SVM (RBF),saved,13.306600041687489,1.083299983292818,14.389900024980307
SVM (RBF),saved,11.902799946255982,1.4810999855399132,13.383899931795895
SVM (RBF),saved,13.82190000731498,1.1050000321120024,14.926900039426982
SVM (RBF),saved,14.743400039151311,1.4532000059261918,16.196600045077503
SVM (RBF),saved,12.949500000104308,1.0384999914094806,13.987999991513789
SVM (RBF),saved,10.686299996450543,0.9967000223696232,11.683000018820167
SVM (RBF),saved,13.107200036756694,1.3814999256283045,14.488699962384999
SVM (RBF),saved,14.324499992653728,1.3453999999910593,15.669899992644787
SVM (RBF),saved,12.800199910998344,1.922600087709725,14.72279999870807
SVM (RBF),saved,14.631600002758205,1.5516000567004085,16.183200059458613
SVM (RBF),saved,12.901199981570244,1.0226999875158072,13.923899969086051
SVM (RBF),saved,13.991000014357269,1.016200054436922,15.00720006879419
SVM (RBF),saved,12.781500001437962,1.1233000550419092,13.904800056479871
SVM (RBF),saved,14.835200039669871,1.0588000295683742,15.894000069238245
SVM (RBF),saved,12.15219998266548,0.9126999648287892,13.064899947494268
SVM (RBF),saved,10.33409999217838,0.9938000002875924,11.327899992465973
SVM (RBF),saved,9.942599921487272,0.9070000378414989,10.84959995932877
SVM (RBF),saved,14.032599981874228,1.3398999581113458,15.372499939985573
SVM (RBF),saved,15.397900016978383,1.0934999445453286,16.49139996152371
SVM (RBF),saved,13.005099957808852,1.5159000176936388,14.520999975502491
SVM (RBF),saved,12.29430001694709,0.9074999252334237,13.201799942180514
SVM (RBF),saved,11.07350003439933,1.5258999774232507,12.599400011822581
SVM (RBF),saved,13.416499947197735,1.2841999996453524,14.700699946843088
SVM (RBF),saved,13.186899945139885,0.9843000443652272,14.171199989505112
SVM (RBF),saved,10.792399989441037,1.4872000319883227,12.27960002142936
SVM (RBF),saved,13.278700062073767,1.375499996356666,14.654200058430433
SVM (RBF),saved,13.365100021474063,1.3907999964430928,14.755900017917156
SVM (RBF),saved,11.600399971939623,1.0317000560462475,12.63210002798587
SVM (RBF),saved,11.088600032962859,0.9932999964803457,12.081900029443204
SVM (RBF),saved,10.689000017009676,2.057399949990213,12.746399966999888
SVM (RBF),saved,11.20690000243485,0.8940999396145344,12.100999942049384
SVM (RBF),saved,12.902699992991984,1.0493999579921365,13.95209995098412
SVM (RBF),saved,11.686500045470893,0.9629999985918403,12.649500044062734
SVM (RBF),saved,12.068499927408993,0.9935999987646937,13.062099926173687
SVM (RBF),saved,11.046999949030578,1.014700043015182,12.06169999204576
SVM (RBF),saved,11.221900000236928,0.9886999614536762,12.210599961690605
SVM (RBF),saved,10.49559994135052,0.966200022958219,11.461799964308739
SVM (RBF),saved,11.666200007312,1.4188999775797129,13.085099984891713
SVM (RBF),saved,10.76400000602007,0.9740999666973948,11.738099972717464
SVM (RBF),saved,11.29000005312264,1.146299997344613,12.436300050467253
SVM (RBF),saved,10.918500018306077,1.028000027872622,11.946500046178699
SVM (RBF),saved,13.786499970592558,1.0807999642565846,14.867299934849143
SVM (RBF),saved,15.448399935849011,1.0047000832855701,16.45310001913458
SVM (RBF),saved,11.2572000361979,0.9805000154301524,12.237700051628053
SVM (RBF),saved,20.547599997371435,1.1532999342307448,21.70089993160218
SVM (RBF),saved,35.38969997316599,2.1138000302016735,37.50350000336766
SVM (RBF),saved,21.35559997987002,1.6789000947028399,23.03450007457286
SVM (RBF),saved,15.43989998754114,1.154000055976212,16.59390004351735
SVM (RBF),saved,14.29149997420609,1.3561999658122659,15.647699940018356
SVM (RBF),saved,18.815999967046082,1.295599970035255,20.111599937081337
SVM (RBF),saved,11.995699955150485,0.9708000579848886,12.966500013135374
SVM (RBF),saved,10.302400100044906,0.930099980905652,11.232500080950558
SVM (RBF),saved,11.22019998729229,0.9621999925002456,12.182399979792535
SVM (RBF),saved,10.666800080798566,0.9074999252334237,11.57430000603199
SVM (RBF),saved,12.050800025463104,1.0052999714389443,13.056099996902049
SVM (RBF),saved,11.542199994437397,0.928599969483912,12.470799963921309
SVM (RBF),saved,11.0277000349015,1.0053999722003937,12.033100007101893
SVM (RBF),saved,12.84260000102222,1.259799930267036,14.102399931289256
SVM (RBF),saved,11.391900014132261,1.0236999951303005,12.415600009262562
SVM (RBF),saved,10.584199917502701,0.9966000216081738,11.580799939110875
SVM (RBF),saved,12.658399995416403,1.2531999964267015,13.911599991843104
SVM (RBF),saved,11.086600017733872,1.4452999457716942,12.531899963505566
SVM (RBF),saved,11.777999927289784,0.9959000162780285,12.773899943567812
SVM (RBF),saved,10.956899961456656,1.2175000738352537,12.17440003529191
SVM (RBF),saved,11.180700035765767,1.0037999600172043,12.184499995782971
SVM (RBF),saved,10.614700033329427,1.2901999289169908,11.904899962246418
SVM (RBF),saved,12.064400012604892,1.3194000348448753,13.383800047449768
SVM (RBF),saved,10.152500006370246,0.9296999778598547,11.082199984230101
SVM (RBF),saved,13.053699978627264,0.9852000512182713,14.038900029845536
SVM (RBF),saved,10.65989991184324,0.9283000836148858,11.588199995458126
SVM (RBF),saved,10.912900092080235,0.9640000062063336,11.87690009828657
SVM (RBF),saved,10.864200070500374,0.8954999502748251,11.759700020775199
SVM (RBF),saved,11.2885000417009,1.0730999056249857,12.361599947325885
SVM (RBF),saved,11.548600043170154,0.9741999674588442,12.522800010628998
